name,red,green,blue,HEX
telemagenta,111,079,040,#6F4F28
terra brown,091,058,041,#5B3A29
tomato red,089,035,033,#592321
traffic black,056,044,030,#382C1E
traffic blue,099,058,052,#633A34
traffic green,076,047,039,#4C2F27
traffic grey a,069,050,046,#45322E
traffic grey b,064,058,058,#403A3A
traffic orange,033,033,033,#212121
traffic purple,166,094,046,#A65E2E
traffic red,121,085,061,#79553D
traffic white,117,092,072,#755C48
traffic yellow,078,059,049,#4E3B31
turquoise blue,118,060,040,#763C28
turquoise green,250,244,227,#FDF4E3
ultramarine blue,231,235,218,#E7EBDA
umbra grey,244,244,244,#F4F4F4
vermilion,040,040,040,#282828
violet blue,010,010,013,#0A0A0A
water blue,165,165,165,#A5A5A5
white aluminium,143,143,143,#8F8F8F
window grey,255,255,255,#FFFFFF
wine red,028,028,028,#1C1C1C
yellow green,246,246,246,#F6F6F6
yellow grey,030,030,030,#1E1E1E
yellow olive,215,215,215,#D7D7D7
yellow orange,156,156,156,#9C9C9C
zinc yellow,130,130,130,#828282
